Scotland Days of Air Frost
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 03/04/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1961   15.9    6.2    3.2    4.6    1.6    0.3    0.0    0.0    0.1    0.5    8.5   20.6     ---    9.4    0.3    9.1    61.4
1962   10.6   12.1   19.2    8.7    1.3    0.4    0.0    0.1    0.1    1.8   10.8   14.0    43.2   29.2    0.5   12.7    79.2
1963   24.0   23.9    8.5    5.5    1.2    0.0    0.0    0.1    0.2    0.6    8.4   13.8    61.9   15.2    0.1    9.2    86.1
1964    9.6   11.5   11.4    3.2    0.1    0.4    0.0    0.3    0.5    2.9    6.9   16.6    34.9   14.7    0.8   10.3    63.6
1965   18.3   14.2   15.7    5.8    1.3    0.1    0.1    0.1    0.2    1.9   15.9   15.9    49.2   22.7    0.3   18.0    89.5
1966   16.9   15.1    8.0   12.4    1.4    0.1    0.0    0.2    0.1    3.0   11.6   13.3    47.9   21.8    0.3   14.6    82.0
1967   11.2    8.4    7.6    7.0    3.1    0.1    0.0    0.1    0.1    2.1    7.3   13.1    32.9   17.7    0.2    9.5    60.1
1968   14.4   23.6   11.2   10.0    4.6    0.1    0.0    0.0    0.2    0.5    8.4   16.6    51.1   25.8    0.2    9.0    89.6
1969   10.8   22.6   21.1    9.8    1.3    0.2    0.0    0.1    0.3    0.3   18.1   15.6    50.0   32.2    0.3   18.7   100.1
1970   13.7   20.7   18.1   12.7    0.1    0.1    0.0    0.0    0.2    1.0    6.6   10.9    49.9   30.9    0.1    7.9    84.2
1971    9.9    9.2   11.4    6.1    1.8    0.1    0.0    0.0    0.6    3.4   12.0    5.4    29.9   19.2    0.2   16.0    59.8
1972   12.0   11.3   10.6    3.0    0.7    0.1    0.0    0.0    1.7    1.8   10.5   10.4    28.7   14.3    0.2   14.0    62.2
1973   11.0   14.4   10.2    9.1    1.8    0.2    0.1    0.2    0.2    5.1   11.1   13.4    35.8   21.0    0.4   16.5    76.7
1974    7.8    8.6   10.5    9.0    1.7    0.1    0.0    0.1    1.5    2.3    5.6    5.8    29.8   21.3    0.2    9.5    53.1
1975   12.3   11.6   16.0    7.8    3.5    0.7    0.0    0.0    1.1    1.8    6.9    7.9    29.7   27.3    0.7    9.9    69.5
1976   13.0   11.9   11.9    5.1    0.3    0.1    0.0    0.0    0.2    1.0    7.3   21.5    32.8   17.3    0.1    8.5    72.4
1977   18.4   14.8    6.3    8.0    3.8    0.2    0.0    0.2    0.5    0.3   10.9    7.8    54.7   18.1    0.5   11.7    71.3
1978   20.4   18.8    8.3    9.6    1.5    0.3    0.0    0.0    0.1    0.3    6.4   12.4    47.0   19.4    0.4    6.7    78.0
